2;2;51
2;3;35
2;4;36
2;5;37
2;6;37
2;7;38
2;8;40
2;9;42
2;T;44
2;J;47
2;Q;50
2;K;53
2;A;57
3;3;55
3;4;38
3;5;39
3;6;39
3;7;40
3;8;40
3;9;43
3;T;45
3;J;48
3;Q;51
3;K;54
3;A;58
4;4;58
4;5;41
4;6;41
4;7;42
4;8;42
4;9;44
4;T;46
4;J;49
4;Q;52
4;K;55
4;A;59
5;5;61
5;6;43
5;7;44
5;8;44
5;9;46
5;T;47
5;J;50
5;Q;53
5;K;56
5;A;60
6;6;64
6;7;45
6;8;46
6;9;47
6;T;49
6;J;50
6;Q;53
6;K;56
6;A;60
7;7;67
7;8;48
7;9;49
7;T;50
7;J;52
7;Q;54
7;K;57
7;A;61
8;8;70
8;9;51
8;T;52
8;J;54
8;Q;56
8;K;58
8;A;62
9;9;73
9;T;54
9;J;55
9;Q;57
9;K;60
9;A;63
T;T;76
T;J;57
T;Q;59
T;K;62
T;A;65
J;J;78
J;Q;60
J;K;62
J;A;65
Q;Q;81
Q;K;63
Q;A;66
K;K;83
K;A;67
A;A;86
